client_id,round_number,hierarchy,num_samples,bytes_written,bytes_read,local_computations
20,0,,165,26414840,26414840,1954047108
13,0,,77,26414840,26414840,897805428
31,0,,75,26414840,26414840,871399386
20,1,,165,26414840,26414840,1954047108
34,1,,143,26414840,26414840,1689986688
24,1,,84,26414840,26414840,977023554
17,2,,161,26414840,26414840,1901235024
15,2,,75,26414840,26414840,884602407
20,2,,165,26414840,26414840,1954047108
5,3,,86,26414840,26414840,1016632617
25,3,,174,26414840,26414840,2059671276
29,3,,87,26414840,26414840,1016632617
10,4,,85,26414840,26414840,1003429596
7,4,,138,26414840,26414840,1623971583
1,4,,134,26414840,26414840,1584362520
5,5,,86,26414840,26414840,1016632617
26,5,,77,26414840,26414840,897805428
34,5,,143,26414840,26414840,1689986688
25,6,,174,26414840,26414840,2059671276
16,6,,173,26414840,26414840,2033265234
26,6,,77,26414840,26414840,897805428
4,7,,168,26414840,26414840,1980453150
13,7,,77,26414840,26414840,897805428
30,7,,161,26414840,26414840,1901235024
17,8,,161,26414840,26414840,1901235024
23,8,,84,26414840,26414840,990226575
29,8,,87,26414840,26414840,1016632617
16,9,,173,26414840,26414840,2033265234
28,9,,85,26414840,26414840,1003429596
34,9,,143,26414840,26414840,1689986688
18,10,,85,26414840,26414840,990226575
12,10,,84,26414840,26414840,977023554
31,10,,75,26414840,26414840,871399386
20,11,,165,26414840,26414840,1954047108
6,11,,134,26414840,26414840,1584362520
7,11,,138,26414840,26414840,1623971583
27,12,,84,26414840,26414840,990226575
14,12,,176,26414840,26414840,2072874297
7,12,,138,26414840,26414840,1623971583
21,13,,134,26414840,26414840,1584362520
18,13,,85,26414840,26414840,990226575
30,13,,161,26414840,26414840,1901235024
28,14,,85,26414840,26414840,1003429596
18,14,,85,26414840,26414840,990226575
25,14,,174,26414840,26414840,2059671276
3,15,,75,26414840,26414840,884602407
31,15,,75,26414840,26414840,871399386
34,15,,143,26414840,26414840,1689986688
20,16,,165,26414840,26414840,1954047108
27,16,,84,26414840,26414840,990226575
0,16,,86,26414840,26414840,1016632617
34,17,,143,26414840,26414840,1689986688
23,17,,84,26414840,26414840,990226575
28,17,,85,26414840,26414840,1003429596
27,18,,84,26414840,26414840,990226575
7,18,,138,26414840,26414840,1623971583
4,18,,168,26414840,26414840,1980453150
28,19,,85,26414840,26414840,1003429596
25,19,,174,26414840,26414840,2059671276
34,19,,143,26414840,26414840,1689986688
31,20,,75,26414840,26414840,871399386
20,20,,165,26414840,26414840,1954047108
3,20,,75,26414840,26414840,884602407
1,21,,134,26414840,26414840,1584362520
5,21,,86,26414840,26414840,1016632617
21,21,,134,26414840,26414840,1584362520
12,22,,84,26414840,26414840,977023554
26,22,,77,26414840,26414840,897805428
30,22,,161,26414840,26414840,1901235024
14,23,,176,26414840,26414840,2072874297
28,23,,85,26414840,26414840,1003429596
32,23,,175,26414840,26414840,2072874297
28,24,,85,26414840,26414840,1003429596
4,24,,168,26414840,26414840,1980453150
8,24,,163,26414840,26414840,1927641066
12,25,,84,26414840,26414840,977023554
27,25,,84,26414840,26414840,990226575
30,25,,161,26414840,26414840,1901235024
15,26,,75,26414840,26414840,884602407
0,26,,86,26414840,26414840,1016632617
22,26,,83,26414840,26414840,977023554
2,27,,87,26414840,26414840,1029835638
14,27,,176,26414840,26414840,2072874297
34,27,,143,26414840,26414840,1689986688
0,28,,86,26414840,26414840,1016632617
22,28,,83,26414840,26414840,977023554
21,28,,134,26414840,26414840,1584362520
9,29,,82,26414840,26414840,963820533
16,29,,173,26414840,26414840,2033265234
33,29,,177,26414840,26414840,2099280339
16,30,,173,26414840,26414840,2033265234
11,30,,87,26414840,26414840,1016632617
25,30,,174,26414840,26414840,2059671276
21,31,,134,26414840,26414840,1584362520
14,31,,176,26414840,26414840,2072874297
17,31,,161,26414840,26414840,1901235024
21,32,,134,26414840,26414840,1584362520
33,32,,177,26414840,26414840,2099280339
12,32,,84,26414840,26414840,977023554
32,33,,175,26414840,26414840,2072874297
13,33,,77,26414840,26414840,897805428
14,33,,176,26414840,26414840,2072874297
25,34,,174,26414840,26414840,2059671276
26,34,,77,26414840,26414840,897805428
24,34,,84,26414840,26414840,977023554
15,35,,75,26414840,26414840,884602407
19,35,,74,26414840,26414840,871399386
18,35,,85,26414840,26414840,990226575
2,36,,87,26414840,26414840,1029835638
32,36,,175,26414840,26414840,2072874297
31,36,,75,26414840,26414840,871399386
6,37,,134,26414840,26414840,1584362520
33,37,,177,26414840,26414840,2099280339
22,37,,83,26414840,26414840,977023554
24,38,,84,26414840,26414840,977023554
16,38,,173,26414840,26414840,2033265234
18,38,,85,26414840,26414840,990226575
2,39,,87,26414840,26414840,1029835638
18,39,,85,26414840,26414840,990226575
26,39,,77,26414840,26414840,897805428
31,40,,75,26414840,26414840,871399386
12,40,,84,26414840,26414840,977023554
4,40,,168,26414840,26414840,1980453150
33,41,,177,26414840,26414840,2099280339
27,41,,84,26414840,26414840,990226575
28,41,,85,26414840,26414840,1003429596
7,42,,138,26414840,26414840,1623971583
31,42,,75,26414840,26414840,871399386
