client_id,round_number,hierarchy,num_samples,bytes_written,bytes_read,local_computations
30,0,,161,26414840,26414840,19091568366
25,0,,174,26414840,26414840,20596712760
24,0,,84,26414840,26414840,9875859708
33,1,,177,26414840,26414840,21006006411
21,1,,134,26414840,26414840,15909640305
4,1,,168,26414840,26414840,19883749626
11,2,,87,26414840,26414840,10245544296
20,2,,165,26414840,26414840,19606486185
7,2,,138,26414840,26414840,16358543019
2,3,,87,26414840,26414840,10298356380
5,3,,86,26414840,26414840,10219138254
10,3,,85,26414840,26414840,10060702002
23,4,,84,26414840,26414840,9902265750
34,4,,143,26414840,26414840,16952678964
32,4,,175,26414840,26414840,20794758075
2,5,,87,26414840,26414840,10298356380
18,5,,85,26414840,26414840,9981483876
10,5,,85,26414840,26414840,10060702002
25,6,,174,26414840,26414840,20596712760
28,6,,85,26414840,26414840,10087108044
14,6,,176,26414840,26414840,20794758075
23,7,,84,26414840,26414840,9902265750
3,7,,75,26414840,26414840,8898836154
12,7,,84,26414840,26414840,9889062729
21,8,,134,26414840,26414840,15909640305
26,8,,77,26414840,26414840,9070475427
6,8,,134,26414840,26414840,15856828221
14,9,,176,26414840,26414840,20794758075
12,9,,84,26414840,26414840,9889062729
4,9,,168,26414840,26414840,19883749626
4,10,,168,26414840,26414840,19883749626
10,10,,85,26414840,26414840,10060702002
3,10,,75,26414840,26414840,8898836154
19,11,,74,26414840,26414840,8766805944
31,11,,75,26414840,26414840,8793211986
34,11,,143,26414840,26414840,16952678964
0,12,,86,26414840,26414840,10219138254
11,12,,87,26414840,26414840,10245544296
18,12,,85,26414840,26414840,9981483876
8,13,,163,26414840,26414840,19302816702
24,13,,84,26414840,26414840,9875859708
1,13,,134,26414840,26414840,15843625200
24,14,,84,26414840,26414840,9875859708
21,14,,134,26414840,26414840,15909640305
23,14,,84,26414840,26414840,9902265750
21,15,,134,26414840,26414840,15909640305
3,15,,75,26414840,26414840,8898836154
33,15,,177,26414840,26414840,21006006411
7,16,,138,26414840,26414840,16358543019
14,16,,176,26414840,26414840,20794758075
31,16,,75,26414840,26414840,8793211986
24,17,,84,26414840,26414840,9875859708
34,17,,143,26414840,26414840,16952678964
1,17,,134,26414840,26414840,15843625200
34,18,,143,26414840,26414840,16952678964
33,18,,177,26414840,26414840,21006006411
17,18,,161,26414840,26414840,19038756282
12,19,,84,26414840,26414840,9889062729
13,19,,77,26414840,26414840,9083678448
9,19,,82,26414840,26414840,9743829498
25,20,,174,26414840,26414840,20596712760
19,20,,74,26414840,26414840,8766805944
18,20,,85,26414840,26414840,9981483876
17,21,,161,26414840,26414840,19038756282
10,21,,85,26414840,26414840,10060702002
14,21,,176,26414840,26414840,20794758075
10,22,,85,26414840,26414840,10060702002
